id	surface	path_or_key	def	current_value	source_layer	readers	live_path	proposed_disposition	reason
L0001	constructor-literal	StrategyOrchestrator.confluenceSizing	core/StrategyOrchestrator.js:839-844	{1:1.0,2:1.5,3:2.0,4:2.5}	constructor-default	evaluate() sizing step, self:2875	yes	HOLD-NEEDS-OWNER	confluence position-sizing table, not in slice-5 literal table
L0002	decision-literal	StrategyOrchestrator.minConfluenceCount	core/StrategyOrchestrator.js:836	1	code-literal (config ?? fallback)	evaluate() gate, self:2848	yes	HOLD-NEEDS-OWNER	entry-qualification floor, not in slice-5 literal table
L0003	decision-literal	StrategyOrchestrator.rawSizingMultiplier	core/StrategyOrchestrator.js:2874-2875	cap=4, fallback=2.5	code-literal	evaluate() sizingMultiplier calc, self:2876	yes	HOLD-NEEDS-OWNER	sizing math cap/fallback, not in slice-5 literal table
L0004	decision-literal	StrategyOrchestrator.minStrategyConfidence	core/StrategyOrchestrator.js:829	0.01	code-literal (ConfigLoader ?? fallback)	self, many gates e.g. :1899,1307,1369	yes	HOLD-NEEDS-OWNER	per-strategy confidence floor fallback, not in slice-5 literal table
L0005	decision-literal	StrategyOrchestrator.regimeMinConfidence	core/StrategyOrchestrator.js:832	0.30	code-literal (ConfigLoader ?? fallback)	none	none	HOLD-NEEDS-OWNER	dead field, verified zero readers repo-wide
L0006	decision-literal	StrategyOrchestrator.confluenceMinScore	core/StrategyOrchestrator.js:833	0.30	code-literal (ConfigLoader ?? fallback)	none	none	HOLD-NEEDS-OWNER	dead field, verified zero readers repo-wide
L0007	decision-literal	StrategyOrchestrator.minCandles{EMA,MASR,Sweep,MTF,TPO}	core/StrategyOrchestrator.js:894-898	20/50/20/30/30	code-literal (ConfigLoader ?? fallback)	self, strategy evaluate() closures :1004,1620-1962	yes	HOLD-NEEDS-OWNER	MTF/pattern-qualification bar-count gates, not in slice-5 literal table
L0008	decision-literal	StrategyOrchestrator.fibDistance{EMA,MASR,Sweep}+fibBoost{Normal,Golden}	core/StrategyOrchestrator.js:899-903	0.5/0.5/0.8/0.10/0.15	code-literal (ConfigLoader ?? fallback)	self, confidence boost at :1665-1671	yes	HOLD-NEEDS-OWNER	fib-proximity confidence boost fallbacks, not in slice-5 literal table
L0009	decision-literal	StrategyOrchestrator.emaCrossover.confirmBars/warmupBars	core/StrategyOrchestrator.js:468-469	0/10	code-literal (finiteConfigNumber fallback)	getEmaCrossoverConfig(), self	yes	HOLD-NEEDS-OWNER	crossover confirm/warmup gate, not in slice-5 literal table
L0010	decision-literal	StrategyOrchestrator.trendRegimeGate.minConfidence	core/StrategyOrchestrator.js:487	0.25	code-literal (finiteConfigNumber fallback)	getTrendRegimeGateConfig(), evaluate() gate :2636,2646	yes	HOLD-NEEDS-OWNER	regime-gate entry threshold fallback, not in slice-5 literal table
L0011	decision-literal	StrategyOrchestrator.atrContracts.{stopMultiplier,trailMultiplier,trailingActivationR}	core/StrategyOrchestrator.js:495-497	2.0/2.0/1.0	code-literal (finiteConfigNumber fallback)	getAtrContractConfig(), buildAtrContractOverrides() :511-516	yes	HOLD-NEEDS-OWNER	ATR stop/trail multiplier fallback, not in slice-5 literal table
L0012	decision-literal	StrategyOrchestrator.mtfConfluenceBooster.{minScore,minConfidence,strengthMultiplier,maxMultiplier,conflictMultiplier}	core/StrategyOrchestrator.js:1274-1278	0.30/0.50/0.20/1.15/0.85	code-literal (finiteConfigNumber fallback)	_applyMtfConfluenceBooster(), self	yes	HOLD-NEEDS-OWNER	SECOND AUTHORITY: config supplies .3/.45/.2/1.15/.88 - code fallback disagrees on minConfidence(.50 vs .45) and conflictMultiplier(.85 vs .88)
L0013	decision-literal	StrategyOrchestrator.emaCrossoverMtf.{hourlyTrendVetoMultiplier,fourHourMacdBoostMultiplier,freshLongTermCrossoverMinTrendStrength}	core/StrategyOrchestrator.js:1420,1432,1442	0.95/1.15/0.3	code-literal (finiteConfigNumber fallback)	_applyStrategyMtfConfluence() EMASMACrossover case	yes	HOLD-NEEDS-OWNER	per-strategy MTF veto/boost fallback, not in slice-5 literal table
L0014	decision-literal	StrategyOrchestrator.maDynamicSRMtf.{hourlyTrendConflictMultiplier,fourHourAlignBoost,compressionBandwidthThreshold}	core/StrategyOrchestrator.js:1467,1475,1482	0.95/0.08/0.01	code-literal (finiteConfigNumber fallback)	_applyStrategyMtfConfluence() MADynamicSR case	yes	HOLD-NEEDS-OWNER	second authority vs config values, not in slice-5 literal table
L0015	decision-literal	StrategyOrchestrator.rsiMtf.{fourHourTrendConflictMultiplier,hourlyRsiBuyMax,hourlyRsiSellMin,hourlyRsiAlignBoost}	core/StrategyOrchestrator.js:1499,1508,1509,1515	0.95/40/60/0.10	code-literal (finiteConfigNumber fallback)	_applyStrategyMtfConfluence() RSI case	yes	HOLD-NEEDS-OWNER	second authority vs config values, not in slice-5 literal table
L0016	decision-literal	StrategyOrchestrator.ogzTpoMtf.{fourHourTrendBoostMultiplier,hourlyMacdAlignBoost,bandwidthThreshold}	core/StrategyOrchestrator.js:1528,1537,1545	1.12/1.08/0.015	code-literal (finiteConfigNumber fallback)	_applyStrategyMtfConfluence() OGZTPO case	yes	HOLD-NEEDS-OWNER	per-strategy MTF boost fallback, not in slice-5 literal table
L0017	decision-literal	StrategyOrchestrator.regimeType classification confidence gate	core/StrategyOrchestrator.js:2613	0.25	code-literal (plain, no config path)	evaluate() regime classification, self	yes	HOLD-NEEDS-OWNER	standalone hardcoded threshold gating whether regime boosts apply at all
L0018	decision-literal	StrategyOrchestrator built-in MarketRegime strategy confidence math	core/StrategyOrchestrator.js:1925,1939,1941,1943,1947	regimeConf||0; trendMult=1.0/0.4/0.7; finalConf=regimeConf*0.8*trendMult	code-literal (plain, no config path)	MarketRegime strategy evaluate() closure, self	yes	HOLD-NEEDS-OWNER	entire confidence formula for a built-in strategy hardcoded, zero config path
L0019	decision-literal	StrategyOrchestrator.regimePositionMultiplier fallback	core/StrategyOrchestrator.js:2631	1.0	code-literal	evaluate() sizingMultiplier calc, self:2876	yes	HOLD-NEEDS-OWNER	regime sizing fallback, not in slice-5 literal table
L0020	decision-literal	StrategyOrchestrator.regime boost fallback	core/StrategyOrchestrator.js:2665	1.0	code-literal	evaluate() regime ranking-score boost, self	yes	HOLD-NEEDS-OWNER	regime ranking multiplier fallback, not in slice-5 literal table
L0021	decision-literal	StrategyOrchestrator.volumeProfile boost fallback	core/StrategyOrchestrator.js:2738	1.0	code-literal	evaluate() VP ranking-score boost, self	yes	HOLD-NEEDS-OWNER	VP zone boost fallback, not in slice-5 literal table
L0022	decision-literal	StrategyOrchestrator.entryFanout sizingMultiplier fallback	core/StrategyOrchestrator.js:2952	1.0	code-literal	evaluate() entryFanout mapping, self	yes	HOLD-NEEDS-OWNER	fanout entry sizing fallback, not in slice-5 literal table
L0023	decision-literal	StrategyOrchestrator.pocThreshold	core/StrategyOrchestrator.js:2710	0.002	code-literal	evaluate() VP zone classification, self:2719	yes	MOVE-TO-SETTINGS	explicitly tabled in slice-5 literal table
L0024	decision-literal	StrategyOrchestrator.lvnProximity	core/StrategyOrchestrator.js:2711	0.003	code-literal	evaluate() VP zone classification, self:2726	yes	HOLD-NEEDS-OWNER	adjacent to tabled pocThreshold but not itself named in slice-5 table
L0025	decision-literal	TradingLoop.warmupGateBars (gate-array copy)	core/TradingLoop.js:504	15	code-literal	_entryRiskGates(), self	yes	MOVE-TO-INTERNALS	explicitly tabled mandatory row (warmup gate)
