process	service_or_surface	credential_capability_or_companion	current_producer	current_consumer	reachability	atomic_cut_disposition	receipt
ogz-prime-v2	Sentry	SENTRY_DSN	ambient process.env plus hardcoded fallback	instrument.js:39-57	main entry import at run-empire-v2.js:36-37	implementation_required	pass from resolved snapshot; remove hardcoded fallback
ogz-prime-v2	Kraken	KRAKEN_API_KEY,KRAKEN_API_SECRET	ConfigLoader private dotenv snapshot	run-empire-v2.js:846-851	selected crypto or scheduled route	implementation_required	resolved snapshot feeds ConfigLoader; preserve explicit adapter injection
ogz-prime-v2	Alpaca	ALPACA_API_KEY,ALPACA_API_SECRET	ConfigLoader private dotenv snapshot	run-empire-v2.js:179-190,852-858	selected stocks or scheduled route	implementation_required	resolved snapshot feeds ConfigLoader; preserve explicit adapter injection
ogz-prime-v2	SignalStack	SIGNALSTACK_WEBHOOK_URL	ConfigLoader private dotenv snapshot	foundation/ConfigLoader.js:988-995; run-empire-v2.js:1303-1309	configured webhook route	implementation_required	resolved snapshot feeds ConfigLoader; classify receipt as capability URL
ogz-prime-v2	TrAI LLM	dynamic key named by trai.llm.apiKeyEnv	inherited/PM2 input or accidental notifier hydration	core/trai_llm_config.js:54-83; run-empire-v2.js:766-779	configured TrAI route	implementation_required	inject credential from bootstrap owner and model settings from accepted snapshot
ogz-prime-v2	Telegram	TELEGRAM_BOT_TOKEN,TELEGRAM_CHAT_ID	utils/telegramNotifier.js:44-48	utils/telegramNotifier.js:50-127; OrderExecutor callbacks	auto-loaded and used	implementation_required	remove dotenv/eager credential capture; bind explicit instance through actual runner callbacks
ogz-prime-v2	Discord	DISCORD_STATS_WEBHOOK_URL,DISCORD_STATUS_WEBHOOK_URL	utils/discordNotifier.js:47-54	utils/discordNotifier.js:68-161; OrderExecutor callbacks	auto-loaded and used	implementation_required	remove dotenv/eager credential capture; bind explicit instance through actual runner callbacks
ogz-prime-v2	ntfy	NTFY_TOPIC	inherited/PM2 input or accidental notifier hydration	core/NtfyTraceNotifier.js:194-202; run-empire-v2.js:1060-1077	live/paper outside backtest	implementation_required	pass bootstrap credential view to existing factory; outcome policy remains J15
ogz-prime-v2	dashboard relay	WEBSOCKET_AUTH_TOKEN	inherited/PM2 input or accidental notifier hydration	core/WebSocketManager.js:107-133	dashboard pipeline enabled	implementation_required	inject relay URL/token so callback-time auth uses accepted source
ogz-prime-v2	stock-history dashboard response	ALPACA_API_KEY,ALPACA_API_SECRET and stock companion values	ambient stock helper fallback	run-empire-v2.js:2337-2371; server/stock-data-adapter.js:10-20,42-68	dashboard history request in bot process	implementation_required	pass accepted stock config through both helper calls
