source_path	original_sha256	original_bytes	committed_path	redacted_sha256	redacted_bytes
ogz-meta/cognition-history/mercury-runs/2026-08-31.jsonl:1	6658af73bb5f5f85bc641cde80aee008cfac0acbcb1071bc53559da4d83bc394	250542	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/ledger-line-1.json	6658af73bb5f5f85bc641cde80aee008cfac0acbcb1071bc53559da4d83bc394	250542
ogz-meta/cognition-history/mercury-runs/2026-08-31.jsonl:2	99c8557b4798dc39f5deaafa6f4be78b2f052d3d4962ef2834a0ffd8ad73fda2	193202	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/ledger-line-2.json	99c8557b4798dc39f5deaafa6f4be78b2f052d3d4962ef2834a0ffd8ad73fda2	193202
ogz-meta/cognition-history/mercury-runs/2026-08-31.jsonl:3	fb45e08207885c91b228f258eecc13030300a95c8dfc4ad31377a498d11c5f16	186831	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/ledger-line-3.json	fb45e08207885c91b228f258eecc13030300a95c8dfc4ad31377a498d11c5f16	186831
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/fable_challenger-1.raw	62fb54be258f4a6eaf6fdd83255e0bb66532a3ed43d743b2a7bb34254450d05c	3786	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-fable_challenger-1.raw.txt	f0f5f6a2a4b4ba27d344ec4c13821dcdd8dca4a6a9f4ba4ad79b8da024b33069	3482
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/fable_challenger-stderr-1.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-fable_challenger-stderr-1.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/kimi_tie_breaker-1.raw	f1725a0672324a4964bdec3e5a390c1e3747f4635cc240a1f5fe971f8e209984	2578	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-kimi_tie_breaker-1.raw.txt	b50bff98f91176ecd27900688880427318af345720aa51d4d28602f7927fd25f	2555
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/mercury-1.raw	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-mercury-1.raw.txt	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/mercury_recheck_1-1.raw	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-mercury_recheck_1-1.raw.txt	e9f48c4df698a26a4d7eb1169ec99a8651edc2b278dd30abea43f09112235943	190
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/opus_challenger-2.raw	c40bc03b8977eddaff1e6368fac1291b0634f259e0a685a2798d9ec0dc8e2af9	10740	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-opus_challenger-2.raw.txt	08d58cd115d8ade7cafe3b950be93f8cec0da419c6c873f3d0cc89c079810d36	9924
ogz-meta/cognition-history/mercury-runs/raw/2026-08-31/2026-08-31t04-20-52-069z-1528250-b745ec3faea8/opus_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	ogz-meta/inbox/amp/2026-08-31/selectable-adversarial-panel/tapes/run-1-opus_challenger-stderr-2.raw.txt	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
