id	path_or_key	original_disposition	audit_result	disposition_0_1a	receipt_section
A0101	entryLogic.symbolLossCooldown.enabled	DELETE-AS-DEAD	LIVE_READER_RULED_DELETE	DELETE-RULED	Cooldown readers addendum
A0102	entryLogic.symbolLossCooldown.consecutiveLosses	DELETE-AS-DEAD	LIVE_READER_RULED_DELETE	DELETE-RULED	Cooldown readers addendum
A0103	entryLogic.symbolLossCooldown.cooldownMinutes	DELETE-AS-DEAD	LIVE_READER_RULED_DELETE	DELETE-RULED	Cooldown readers addendum
B0060	universalLimits	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Requested core input table
B0066	features.enableArbitrage	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Requested core input table
B0067	features.enableHedging	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Requested core input table
E0002	ACCOUNT_DRAWDOWN_PCT	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0042	ENABLE_BREAKRETEST	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0048	ENABLE_MTF_CONFLUENCE_BOOSTER	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0049	ENABLE_NOWICK	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0050	ENABLE_ORB	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0054	ENABLE_STRATEGY_MTF_CONFLUENCE	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0063	EVAL_RULES_ENABLED	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0102	MTF_BOOSTER_BOOST_MTF_CANDIDATE	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0103	MTF_BOOSTER_CONFLICT_MULT	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0104	MTF_BOOSTER_MAX_MULT	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0105	MTF_BOOSTER_MIN_CONFIDENCE	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
E0106	MTF_BOOSTER_MIN_SCORE	DELETE-AS-DEAD	NO_LIVE_READER	DELETE-AS-DEAD	Direct answer for the Sept. 7 15-key replay surface
