source	original_sha256	original_bytes	committed_path	redacted_sha256	redacted_bytes
ogz-meta/cognition-history/mercury-runs/2026-09-02.jsonl:1	a99f7d5bb6ec1dd7c261deb27a3220c219e3ce42f3092df04ab2911e6e651079	12938	tapes/ledger/line-1.jsonl	a99f7d5bb6ec1dd7c261deb27a3220c219e3ce42f3092df04ab2911e6e651079	12938
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-15-08-118z-1796478-f20e29b272d4/fable_challenger-2.raw	6052f7f6c583d467a021a65edcf6b006514fcec106a5b82416f52607492b08ae	3566	tapes/run-1/fable_challenger-2.raw	7b385318926940d28c6c6c78671d0ac78f092b1309d33b9d56462271eec288de	3329
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-15-08-118z-1796478-f20e29b272d4/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/run-1/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-15-08-118z-1796478-f20e29b272d4/kimi_tie_breaker-3.raw	1b59e44baacaabf91b80d7a19cb616f27e79e9cfee9720b48dd729c729c64dac	282	tapes/run-1/kimi_tie_breaker-3.raw	2f1e7a078e0c43aa83d480bbf87599bd2b73fe2f7a36b4410d1bcd06c48441c9	259
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-15-08-118z-1796478-f20e29b272d4/mercury-1.raw	ec0392efb197b1d7fb4e020bed04c99c8a456577511836a834b0038f289f822d	102	tapes/run-1/mercury-1.raw	ec0392efb197b1d7fb4e020bed04c99c8a456577511836a834b0038f289f822d	102
ogz-meta/cognition-history/mercury-runs/2026-09-02.jsonl:2	875b74d5f6eab10f9df557746155b54990c2961b65e2f2cd142b167369457c4b	13016	tapes/ledger/line-2.jsonl	875b74d5f6eab10f9df557746155b54990c2961b65e2f2cd142b167369457c4b	13016
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-25-05-571z-1797729-20c36079c37c/fable_challenger-2.raw	61c289fe7ee053ba13fa9dbd03260d98e432896241c883435f79aed7c01ca0df	3572	tapes/run-2/fable_challenger-2.raw	19758bc82e283977a80b785364a171b8e6aba432382d56adbb7beba5c02aeb21	3335
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-25-05-571z-1797729-20c36079c37c/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157	tapes/run-2/fable_challenger-stderr-2.raw	e705bbf8982385da2b1a03725921d0a6c6730bbaadd22c8f9168522573d067e0	157
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-25-05-571z-1797729-20c36079c37c/kimi_tie_breaker-3.raw	be995df3312c3d3d0a02de98f1729be3c8267ace64b108ef778057f05a115059	348	tapes/run-2/kimi_tie_breaker-3.raw	4df666463bf6bc154f84bbddfec47597b42e762baeb7297c87af11af29623191	325
ogz-meta/cognition-history/mercury-runs/raw/2026-09-02/2026-09-02t00-25-05-571z-1797729-20c36079c37c/mercury-1.raw	ec0392efb197b1d7fb4e020bed04c99c8a456577511836a834b0038f289f822d	102	tapes/run-2/mercury-1.raw	ec0392efb197b1d7fb4e020bed04c99c8a456577511836a834b0038f289f822d	102
